player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Sardar Azmoun,ir IRN,"FW,MF",Roma,28-339,1995,9.0,0.0,152.0,1.0,0.0,0.0,0.0,1.0,0.0,0.59,0.0,0.59,0.59,0.59,1.1,1.1,0.64,0.64,1.7,1.0,0.0,16.7,0.59,0.17,1.0,0.18,-0.1,-0.1,32.0,48.0,66.7,447.0,106.0,20.0,29.0,69.0,11.0,12.0,91.7,0.0,0.0,0.0,2.0,4.0,2.0,0.0,5.0,47.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,3.0,0.0,1.0,0.0,2.0,1.2,1.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,74.0,1.0,11.0,28.0,37.0,9.0,74.0,42.0,0.0,3.0,0.0,46.0,2.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.0,3.0,3.0,50.0
Paulo Azzi,br BRA,"DF,MF",Cagliari,29-144,1994,10.0,4.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.17,0.17,5.2,1.0,0.0,7.1,0.19,0.0,0.0,0.06,-0.9,-0.9,175.0,257.0,68.1,2813.0,923.0,92.0,110.0,83.6,73.0,97.0,75.3,9.0,34.0,26.5,5.0,11.0,6.0,2.0,18.0,211.0,44.0,4.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,40.0,2.0,7.0,9.0,1.74,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,3.0,0.0,6.0,1.0,5.0,8.0,8.0,0.0,322.0,12.0,89.0,124.0,116.0,11.0,322.0,168.0,22.0,23.0,2.0,182.0,5.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,28.0,5.0,8.0,38.5
Oussama El Azzouzi,ma MAR,MF,Bologna,22-191,2001,9.0,1.0,198.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.45,0.45,0.0,0.45,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,152.0,90.8,2270.0,534.0,73.0,78.0,93.6,52.0,56.0,92.9,12.0,15.0,80.0,2.0,12.0,0.0,0.0,6.0,149.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.36,2.0,0.0,0.0,1.0,1.0,0.45,1.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,6.0,0.0,176.0,10.0,39.0,118.0,20.0,3.0,176.0,112.0,2.0,1.0,0.0,125.0,1.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,23.0,1.0,3.0,25.0
Milan Badelj,hr CRO,MF,Genoa,34-284,1989,11.0,11.0,787.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.11,0.11,0.0,0.11,0.4,0.4,0.05,0.05,8.7,2.0,0.0,28.6,0.23,0.0,0.0,0.06,-0.4,-0.4,324.0,405.0,80.0,5787.0,1875.0,137.0,153.0,89.5,141.0,167.0,84.4,35.0,63.0,55.6,3.0,39.0,4.0,2.0,38.0,386.0,18.0,14.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,14.0,1.6,12.0,0.0,1.0,1.0,4.0,0.46,3.0,0.0,1.0,0.0,0.0,16.0,7.0,8.0,8.0,0.0,18.0,1.0,17.0,17.0,13.0,0.0,488.0,26.0,129.0,300.0,63.0,4.0,488.0,255.0,4.0,4.0,0.0,312.0,8.0,4.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,63.0,4.0,7.0,36.4
Jaime Báez,uy URU,"FW,MF",Frosinone,28-225,1995,9.0,6.0,450.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.04,0.04,5.0,1.0,1.0,12.5,0.2,0.0,0.0,0.03,-0.2,-0.2,124.0,179.0,69.3,2093.0,822.0,57.0,74.0,77.0,46.0,58.0,79.3,15.0,31.0,48.4,7.0,11.0,8.0,0.0,26.0,162.0,17.0,3.0,0.0,1.0,22.0,14.0,2.0,10.0,0.0,0.0,0.0,6.0,14.0,2.8,5.0,6.0,0.0,2.0,2.0,0.4,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,2.0,5.0,0.0,5.0,4.0,1.0,0.0,220.0,5.0,29.0,98.0,96.0,11.0,220.0,126.0,8.0,4.0,2.0,152.0,8.0,11.0,0.0,5.0,13.0,5.0,1.0,0.0,0.0,27.0,4.0,4.0,50.0
Nedim Bajrami,al ALB,"MF,FW",Sassuolo,24-281,1999,12.0,7.0,568.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,1.0,1.0,0.15,0.15,6.3,6.0,1.0,33.3,0.95,0.06,0.17,0.05,0.0,0.0,161.0,212.0,75.9,2539.0,678.0,75.0,90.0,83.3,70.0,88.0,79.5,9.0,23.0,39.1,9.0,10.0,4.0,1.0,27.0,187.0,25.0,4.0,2.0,0.0,24.0,17.0,7.0,7.0,0.0,2.0,0.0,4.0,21.0,3.33,15.0,2.0,2.0,0.0,3.0,0.48,2.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,0.0,262.0,5.0,29.0,113.0,130.0,17.0,262.0,153.0,20.0,8.0,4.0,174.0,9.0,5.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,28.0,0.0,4.0,0.0
Mitchel Bakker,nl NED,DF,Atalanta,23-169,2000,8.0,2.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,99.0,130.0,76.2,1394.0,322.0,67.0,77.0,87.0,27.0,32.0,84.4,4.0,12.0,33.3,2.0,6.0,0.0,0.0,6.0,99.0,29.0,1.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,26.0,2.0,4.0,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,4.0,0.0,4.0,1.0,4.0,0.0,156.0,3.0,39.0,72.0,49.0,5.0,156.0,86.0,9.0,5.0,2.0,92.0,6.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,14.0,3.0,0.0,100.0
Tommaso Baldanzi,it ITA,"MF,FW",Empoli,20-258,2003,10.0,7.0,610.0,1.0,0.0,0.0,0.0,1.0,0.0,0.15,0.0,0.15,0.15,0.15,2.0,2.0,0.29,0.29,6.8,4.0,0.0,36.4,0.59,0.09,0.25,0.18,-1.0,-1.0,156.0,194.0,80.4,2457.0,590.0,75.0,89.0,84.3,56.0,66.0,84.8,13.0,16.0,81.3,10.0,9.0,10.0,3.0,26.0,172.0,17.0,4.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,6.0,5.0,5.0,27.0,3.98,19.0,2.0,0.0,4.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,6.0,0.0,6.0,2.0,0.0,0.0,268.0,0.0,21.0,121.0,133.0,22.0,268.0,179.0,17.0,13.0,5.0,199.0,17.0,8.0,0.0,4.0,14.0,1.0,0.0,0.0,0.0,25.0,0.0,4.0,0.0
Lameck Banda,zm ZAM,FW,Lecce,22-311,2001,10.0,9.0,703.0,1.0,3.0,0.0,0.0,3.0,0.0,0.13,0.38,0.51,0.13,0.51,1.8,1.8,0.23,0.23,7.8,14.0,1.0,58.3,1.79,0.04,0.07,0.08,-0.8,-0.8,142.0,187.0,75.9,2338.0,427.0,75.0,88.0,85.2,49.0,64.0,76.6,12.0,22.0,54.5,15.0,5.0,9.0,4.0,14.0,182.0,5.0,1.0,1.0,1.0,22.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,29.0,3.72,15.0,2.0,6.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,16.0,12.0,7.0,6.0,3.0,8.0,0.0,8.0,2.0,3.0,0.0,321.0,1.0,42.0,124.0,164.0,35.0,321.0,232.0,41.0,18.0,19.0,225.0,33.0,16.0,0.0,17.0,16.0,3.0,0.0,0.0,0.0,48.0,2.0,6.0,25.0
Mattia Bani,it ITA,DF,Genoa,29-361,1993,11.0,11.0,903.0,1.0,0.0,0.0,0.0,5.0,0.0,0.1,0.0,0.1,0.1,0.1,0.8,0.8,0.08,0.08,10.0,2.0,0.0,66.7,0.2,0.33,0.5,0.25,0.2,0.2,350.0,429.0,81.6,7162.0,2576.0,97.0,109.0,89.0,206.0,226.0,91.2,45.0,83.0,54.2,1.0,15.0,0.0,0.0,11.0,398.0,28.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,7.0,2.0,0.0,22.0,13.0,9.0,7.0,49.0,0.0,539.0,93.0,358.0,174.0,8.0,6.0,539.0,287.0,3.0,1.0,0.0,312.0,5.0,0.0,0.0,7.0,12.0,1.0,0.0,0.0,0.0,49.0,14.0,14.0,50.0
